AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
9.882828497145474712e-04,9.428397748109181194e-04,1.474350774129349088e-03
9.650295409336836485e-04,9.136133451721976505e-04,1.460623695970021717e-03
9.538924515837063226e-04,9.172108778962502788e-04,1.438176507314988407e-03
9.292477662583622242e-04,8.783074309753377117e-04,1.422501067358731500e-03
9.084227996422832539e-04,8.753502766776340366e-04,1.379052214119062076e-03
9.090641608431456692e-04,8.527872570104527749e-04,1.365203416074772672e-03
8.970919251880676848e-04,8.503838790066671699e-04,1.351513132526491233e-03
8.819981692815052031e-04,8.482884269842323613e-04,1.337835987979895270e-03
8.660419654082866358e-04,8.241046358863869312e-04,1.313183308300195371e-03
8.549861571340828343e-04,8.078252439890725150e-04,1.297234688434254889e-03
8.224323351693731609e-04,8.118953704484811133e-04,1.266736585177758541e-03
8.271376449808642145e-04,7.953456445851915741e-04,1.258043408404280368e-03
8.187479080445122896e-04,7.855054657734385172e-04,1.258439416918684774e-03
8.053736480556613958e-04,7.645188201452952654e-04,1.216688834364753561e-03
7.899098634133945888e-04,7.652115828583662968e-04,1.210423208504887802e-03
7.771330932361330624e-04,7.703710165029521630e-04,1.180426776270309579e-03
7.724928952746699939e-04,7.486105707742396432e-04,1.174379671474951948e-03
7.640612904474937623e-04,7.453058024574238946e-04,1.166955134551011944e-03
7.538116496409904806e-04,7.361161878773613302e-04,1.147794771068578502e-03
7.520796018341808055e-04,7.286829149264511434e-04,1.137591116575662181e-03
7.551313777356117012e-04,7.224311062178790516e-04,1.146116610022744967e-03
7.391479381940422059e-04,7.135732447299718631e-04,1.128192648359052511e-03
7.361869076583051801e-04,7.020045404799963662e-04,1.122289923278717858e-03
7.364056880341479736e-04,6.967031905761895006e-04,1.090206694817035535e-03
7.096194556002863221e-04,6.962927978039634572e-04,1.103815007500910227e-03
7.166902856610521833e-04,6.972183560921938091e-04,1.118710009995174150e-03
7.017780524255863486e-04,6.799212200576984066e-04,1.061976558382806204e-03
7.082830727784955593e-04,6.738554419558123385e-04,1.077591157296047203e-03
6.866662032702849916e-04,6.785128742524789347e-04,1.055913564935772545e-03
6.851610226945955466e-04,6.591152379351397379e-04,1.047506296868508640e-03
6.811547442908426125e-04,6.607642101133595364e-04,1.045699219459503499e-03
6.832472377949935479e-04,6.756728468669298722e-04,1.036844833889412256e-03
6.851433273339889440e-04,6.547892598449824670e-04,1.033631521578204154e-03
